"","review"
"37","unique great stay wonderful time hotel monaco location excellent short stroll main downtown shopping area pet friendly room showed signs animal hair smells monaco suite sleeping area big striped curtains pulled closed nice touch felt cosy goldfish named brandi enjoyed nt partake free wine coffeetea service lobby thought great feature great staff friendly free wireless internet hotel worked suite laptops decor lovely eclectic mix pattens color palatte animal print bathrobes feel like rock stars nice nt look like sterile chain hotel hotel personality excellent stay"
"38","18.651004076004"
"39","5"
"40","9"
"41","27"
"42","0"
"43","121"
"44","3"
"45","26"
"46","0"
"47","4"
"48","en"
"49","great stay great stay went seahawk game awesome downfall view building nt complain room huge staff helpful booked hotels website seahawk package charge parking got voucher taxi problem taxi driver nt want accept voucher barely spoke english funny thing speak arabic called started making comments girlfriend cell phone buddy took second realize just said fact speak language face priceless ass told said large city told head doorman issue called cab company promply answer nt apologized offered pay taxi bucks miles stadium game plan taxi return going humpin great walk nt mind right christmas wonderful lights homeless stowed away building entrances leave police presence greatest area stadium activities blocks pike street waterfront great coffee shops way hotel mantained foyer awesome wine tasting available evening best dog taking st bernard time family safes hotel located service desk room bathroom huge jetted tub huge funny house keeping walked girlfriend getting dressed nt hear knock turn service screamed girlfriend screams hit floor laughing started talking spanish worked place recommend price check online deals just good better besite contains deals vouchers travel websites nt tell"
"50","18.6510539054871"
"51","5"
"52","9"
"53","27"
"54","0"
"55","121"
"56","3"
"57","26"
"58","0"
"59","5"
"60","en"
"61","love monaco staff husband stayed hotel crazy weekend attending memorial service best friend husband celebrating th wedding anniversary talk mixed emotions booked suite hotel monte carlos loaned beautiful fantanned goldfish named joliet weekend visited dogs worked desk human companions room decorated nicely couch used pillows loccitane bath amenities welcome sight room quiet peaceful wireless internet access wonderful server went morning leaving problems printing boarding passes afternoon reception serves oenophilesatisfying wine australia scrumptious cookies restaurant closed renovation stay finally ate food good drinks better word caution restaurant larger person sit booths wo nt fit lbs husband table smackagainst stomach couple inches space mighty uncomfortable patron larger pregnant bad design opinion place decorated funky welcoming way metal wood handblown glass light fixtures expect seattle capital glass art industry definitely stay reason"
"62","18.6511209011078"
"63","5"
"64","9"
"65","27"
"66","0"
"67","121"
"68","3"
"69","26"
"70","0"
"71","6"
"72","en"
"73","cozy stay rainy city husband spent nights monaco early january business trip chance come ridewe booked monte carlo suite proved comfortable longish stay room located street building street noise problem view interesting rooms building look dank alley midsection large office building suite comfortable plenty room spread bathroom attractive squeaky clean small comparison generous proportions sitting sleeping areas lots comfortable seating options good lighting plenty storage clothing luggage hotel staff friendly efficient housekeeping staff great job pleasant requests responded quicklythe location quite good easy walk pike street market seattle art museum notch shopping dining optionsa positive experience"
"74","18.6511960029602"
"75","5"
"76","9"
"77","27"
"78","0"
"79","121"
"80","3"
"81","26"
"82","0"
"83","7"
"84","en"
"85","excellent staff housekeeping quality hotel chocked staff make feel home experienced exceptional service desk staff concierge door men maid service needs work maid failed tuck sheets foot bed instance soiled sheets used staff quickley resolved soiled sheets issue guess relates employee reflection rest staffwe received excellent advice concierge regarding resturants area happy hour wine tasting nice touch staff went way make feel homegreat location like close good food shopping took play th street theather wellpikes market pioneer square access mono rail short walking distance"
"86","18.6512598991394"
"87","5"
"88","9"
"89","27"
"90","0"
"91","121"
"92","3"
"93","26"
"94","0"
"95","8"
"96","en"
"97","hotel stayed hotel monaco cruise rooms generous decorated uniquely hotel remodeled pacific bell building charm sturdiness everytime walked bell men felt like coming home secure great single travelers location fabulous walk things pike market space needlelittle grocerydrug store block away today green bravo double bed room room bed couch separated curtain snoring mom slept curtain great food nearby"
"98","18.6513369083405"
"99","5"
"100","9"
"101","27"
"102","0"
"103","121"
"104","3"
"105","26"
"106","0"
"107","9"
"108","en"
"109","excellent stayed hotel monaco past delight reception staff friendly professional room smart comfortable bed particularly liked reception small dog received staff guests spoke loved mild negative distance uphill ppmarket restaurants st overall great experience"
"110","18.651398897171"
"111","5"
"112","9"
"113","27"
"114","0"
"115","121"
"116","3"
"117","26"
"118","0"
"119","10"
"120","en"
"121","poor value stayed monaco seattle july nice hotel priced night hotel takes beating quotient experience simply average nothing exceptional paying nt ca nt terribly disappointed wife stayed nicest suites night felt like overpaying best advice shop qualitywise league average marriott nice best western"
"122","18.6514530181885"
"123","5"
"124","9"
"125","27"
"126","0"
"127","121"
"128","3"
"129","26"
"130","0"
"131","11"
"132","en"
"133","nice value seattle stayed nights late looked comparable hilton marriott westin area pointsmiles nt gave monaco shot pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service downside relatively small exercise room treadmill heck east coast time ran person days definitely stay"
"134","18.6515250205994"
"135","5"
"136","9"
"137","27"
"138","0"
"139","121"
"140","3"
"141","26"
"142","0"
"143","12"
"144","en"
"145","nice hotel good location hotel kimpton design whimsical vibe fun staff young casual problem hotel busy stay friendly helpful group reserved rooms gave connecting rooms fuss busy weekthe rooms decent size huge pretty average city hotel beds nice bathrooms clean bright pocket doors ideal busy bathroom room design bright cheery flat panel tv location little noisy fine th floor location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market parking steep night evening wine receptions popular"
"146","18.6516010761261"
"147","5"
"148","9"
"149","27"
"150","0"
"151","121"
"152","3"
"153","26"
"154","0"
"155","13"
"156","en"
"157","nice hotel nice staff hotel lovely staff quite rude bellhop desk clerk going way make things difficult waited forever check heavy bags help getting throught double doors room worst desk clerk checking tap tap tap car waited pick minutes got home noticed dollar hold credit card took phonecalls faxes week resolved stay warwck th lenora rooms okbut al friendly faces tiring day airport"
"158","18.6517059803009"
"159","5"
"160","9"
"161","27"
"162","0"
"163","121"
"164","3"
"165","26"
"166","0"
"167","14"
"168","en"
"169","great hotel night quick business trip loved little touches like goldfish leopard print robe complaint wifi complimentary internet access business center great location library service fabulous"
"170","18.6517798900604"
"171","5"
"172","9"
"173","27"
"174","0"
"175","121"
"176","3"
"177","26"
"178","0"
"179","15"
"180","en"
"181","horrible customer service hotel stay february rd th friend picked hotel monaco appealing website online package included champagne late checkout free valet gift spa weekend friend checked room hours earlier came later pulled valet young man just stood asked valet open said pull bags didnçé offer help got garment bag suitcase came car key room number says valet car park car street pull left key working asked valet park car gets went room fine bottle champagne oil lotion gift spa dressed went came got bed noticed blood drops pillows sheets pillows disgusted just unbelievable called desk sent somebody minutes later swapped sheets left apologizing sunday morning called desk speak management sheets aggravated rude apparently manager kind supervisor weekend wait monday morning young man spoke said cover food adding person changed sheets said fresh blood rude tone checkout pm package booked staff maids tried walk room opening door apologizing closing people called saying check remind package finally packed things went downstairs check quickly signed paper took way took closer look room unfortunately covered food offered charged valet called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier life treated like hotel sure hotel constantly problems lucky ones stay recommend anybody know"
"182","18.6518430709839"
"183","5"
"184","9"
"185","27"
"186","0"
"187","121"
"188","3"
"189","26"
"190","0"
"191","16"
"192","en"
"193","disappointed say anticipating stay hotel monaco based reviews seen tripadvisor definitely disppointment decor room hotel envisioned nice housekeeping staff impressive extremely polite cheery helpful desk bellmen standard customer service lots little things easily overlooked broken make mirror sagging post bathroom jiggly entrance handle room nt feel secure handle nearly falling door husband early morning flight midweek asked cab called suggested cab ride cost double private car flatrate nt case knew cost cab car bell staff insisted like taxi ride cab driver later explained bell staff kick referrals preferred guests city andor hotel hotel staff looking best interests new years planned dining restaurant hotel new year day came dressed dinner told desk closed holiday asked nearby response good luck finding today good luck thanks help feature needed hotel business centre work downstairs service completely semifuncitional internet service outsourced ended spending money nt work refund hours vacation time troubleshooting internet company toll free service line asked desk times assistance told worst experience time asked desk assistance got response included shrug say oh bad majority staff attitude just simply care needed help dared intrude time got snotty response occasions caught desk girls smirking thought turned nt talk frustrating honesty nt wait check nice decor liked goldfish housekeeping staff great end hotel want dash door nt way concerned taking greet pretty ignored desk area unless approached time street westin saw nothing smiling faces coming going hotel"
"194","18.6519110202789"
"195","5"
"196","9"
"197","27"
"198","0"
"199","121"
"200","3"
"201","26"
"202","0"
"203","17"
"204","en"
"205","fantastic stay monaco seattle hotel monaco holds high standards kimpton hotel line stayed kimpton hotels cities easily say seattle hotel monaco best seen service attentive prompt based member kimpton loyalty program upgraded th floor room great view th street excellent public library kittycorner hotel highly recommend tour public library blown away room quite spacious beautiful flatscreen television dvdcd player exercise room pretty standard kimpton size means adequate outstanding eliptical cardio machines stationary bikes personal viewing screens cardio machine screens accept dvd seen kimpton hotels hotel monaco line particular hotel lobby stylish quirky inviting easy imagine spending time relaxing comfortable overstuffed chairs restaurant attached hotel sazerac good far eaten lunch look forward breakfast tomorrow kimpton properties able connect free highspeed internet ethernet seconds cruising web checking email office problems opinion ca nt wrong kimpton hotel seattle hotel monaco certainly excellent choice"
"206","18.6519920825958"
"207","5"
"208","9"
"209","27"
"210","0"
"211","121"
"212","3"
"213","26"
"214","0"
"215","18"
"216","en"
"217","good choice hotel recommended sister great location room nice comfortable bed quiet staff helpful recommendations restaurants pike market block walk stay"
"218","18.65207695961"
"219","5"
"220","9"
"221","27"
"222","0"
"223","121"
"224","3"
"225","26"
"226","0"
"227","19"
"228","en"
"229","hmmmmm say really high hopes hotel monaco chose base girlfriend shopping trip seattle stay say given competition seattle just okay hotel lot nice features little things detract bedding super soft luxurious comforters pillows mattress rock hard standard hotel bed kept awake nights furnishings nice colors patterns fun chair rip wall paper peeling stayed room noise like fog horn vibrated walls stay guess water pipes really annoyingon waking morning packages decaf instead regular coffee took minutes send coffee showed just package coffee town usa little package tiny dried creamers supposed coffee service lobby saw cleared really early gone wine reception boy better time walk like look manager like trying scope nd glass food plate goldfish crackers classyfriday night restaurant bar closed pm private party planned eat heard fun bar bummer add restall hotel posters say things like hotel comfort felt catered comfortable staff asked said hello looking visit"
"230","18.6521470546722"
"231","5"
"232","9"
"233","27"
"234","0"
"235","121"
"236","3"
"237","26"
"238","0"
"239","20"
"240","en"
"241","service service service spent week gfriend labor day bumbershoot gray line airporter drops corner hotel person cab total make sure flat rate town car location central downtown street w itçé quick walk points tourist business yes space needle bit far monorail westlake center easy walk away tourist underground tour public market space needle emp leave bit room luggage shopping great neighborhood safe clean room mediterranean suite quite large equipped twoperson jacuzzi tub small stand glassenclosed shower room view care room clean small throw blanket adorned foot bed took tastefully decorated walls striped trust wont feel like stale hotel ask gold fish bring wellbehaved dog companyservice aspects excellent desk house keeping concierge room service bell desk ready provide warm professional service test donçé flinchgym open hours newer cardio machines dumbbells highest weight water towels tv goldçé walking distancegastronomy sazerac worth try impressive itçé amusingthis visit seattle monaco like beds westin better prefer monaco afford w gfriends visit wants bumbershoot year stay hotel monaco"
"242","18.6522090435028"
"243","5"
"244","9"
"245","27"
"246","0"
"247","121"
"248","3"
"249","26"
"250","0"
"251","21"
"252","en"
"253","excellent stay delightful surprise stay monaco thoroughly enjoyed stay room comfortable lovely amenities friendly staff especially enjoyed hour indulgence definitely come"
"254","18.6522870063782"
"255","5"
"256","9"
"257","27"
"258","0"
"259","121"
"260","3"
"261","26"
"262","0"
"263","22"
"264","en"
"265","good value downtown hotel monaco seattle great option pricey area town rooms w street going close night hotel monaco unique interesting cozy bedlinens quality aveda products bathroom nice touchyou close downtown quick cab ride away nightlife restaurants loved lola experience quirky luxurious funi definitely stay"
"266","18.6523768901825"
"267","5"
"268","9"
"269","27"
"270","0"
"271","121"
"272","3"
"273","26"
"274","0"
"275","23"
"276","en"
"277","hotel monaco great location service hotel monaco centrally located provides excellent service recently stayed originally checked slight problem informed booked queen beds expedia room king bed fortunately fellow guest checking time swapped rooms future reference booking expedia recommend double checking hotel ensure receive correct room staff stated better book hotel directly match online rates additionally concierge marco helpful sat night called salty make reservations brunch day informed seats available following day concierge called restaurant hours wanted dine able book table great window view hotel blocks away pike place market seattle art museum shopping district walking distance space needle experience music project attractions ammenities services provided hotel include pet goldfish wine tasting yoga mat use room seattle recommend taking helicopter tour mt st helens hoffstadt visitor center"
"278","18.6524529457092"
"279","5"
"280","9"
"281","27"
"282","0"
"283","121"
"284","3"
"285","26"
"286","0"
"287","24"
"288","en"
"289","great location need internally upgrade advantage north end downtown seattle great restaurants nearby good prices rooms need updated literally thought sleeping bed old pillows sheets net result bad nights sleep stay location staff friendly"
"290","18.6525480747223"
"291","5"
"292","9"
"293","27"
"294","0"
"295","121"
"296","3"
"297","26"
"298","0"
"299","25"
"300","en"
"301","nt mind noise place great read reviews noise used hotel website book room interesting site gives checkbox options room farthest elevator room higher floor quiet room getting quietest room possible checked hoping got th floor floors hall elevator listened trucks ambulance sirens night sheeeesh aside heating units sound like small plane engines hear surrounding roomsif noise sleeps facilities clean conveniently located reasonably priced staff quite helpful"
"302","18.6526229381561"
"303","5"
"304","9"
"305","27"
"306","0"
"307","121"
"308","3"
"309","26"
"310","0"
"311","26"
"312","en"
"313","loved stayed warwick overnight getway enjoy christmas shopping warwick exceeded expectations staff wonderful extrememly friendly room clean service lounge wonderful came contact hotel friendly women bathroom lever lounge well think haunted totally creepy vibe lights anywho really enjoyed stay going couple days"
"314","18.6526939868927"
"315","5"
"316","9"
"317","27"
"318","0"
"319","121"
"320","3"
"321","26"
"322","0"
"323","27"
"324","en"
"325","met expectations centrally located hotel blocks water popular nightlife shopping options belltown downtown classify property star location paid wedding rate sure fares value proposition room spacious little outdated rooms decent views lower floor drab panaroma parking lot buildings adequate fitness center sauna pool basement quaint barrestaurant attached hotel parking day outrage possibly standard downtown street parking weekend save dollars willing stay future price significantly lower nearby fourstar competition"
"326","18.6528220176697"
"327","5"
"328","9"
"329","27"
"330","0"
"331","121"
"332","3"
"333","26"
"334","0"
"335","28"
"336","en"
"337","nice hotel husband stayed warwick years ago liked hotel location hesitate book tripwe asked received nonsmoking room king bed high floor hoping hotel nice view space needle checkin nice friendly keys minutes nice room small loveseat juliet balconylove location hotel just block away best restaurants downtown dahlia lounge palace kitchen lola small grocery storeminimart right street wine easy walk pike place marketon site hotel nice restaurant lounge area ate breakfast hotel drinks loungebar times good servicewe nt chance use look pool exercise room located basement pool small definitely useable exercise room variety machines weights newest market definitely decent machines kept neat clean exercise room plenty towels water cooler availablei think ran maid days leaving friendlywe used business center couple times consisted computers free internet printer just needed ask key desk nice handyoverall thought staff helpful hotel quiet good location definitely met expectations stayed years ago definitely return hope soon"
"338","18.6529169082642"
"339","5"
"340","9"
"341","27"
"342","0"
"343","121"
"344","3"
"345","26"
"346","0"
"347","29"
"348","en"
"349","good hotel large hotel newly decorated rooms good size clean excellent location blocks centre town blocks market areahotel resturant bustling place alot diners coming street good meal thereoverall highly recommend staying"
"350","18.6529910564423"
"351","5"
"352","9"
"353","27"
"354","0"
"355","121"
"356","3"
"357","26"
"358","0"
"359","30"
"360","en"
"361","good choice seattle stayed night business booked company overall satisfactory arrived late evening room th floor clean comfortable great view bathroom little small clean equipped good night sleep enjoyed excellent breakfast restaurant checking staff encountered friendly polite"
"362","18.6531319618225"
"363","5"
"364","9"
"365","27"
"366","0"
"367","121"
"368","3"
"369","26"
"370","0"
"371","31"
"372","en"
"373","great location expensive parking warwick heart seattle easy walking distance pikes place monorail terminal downtown shops stayed twice recently start finish tour pacific north west staff helpful knowledgable rooms large comfy armchair large bedded room rooms fridge coffee makerparking site expensive guess reflects city centre parking prices free zone travel seattle buses cheap free travel central seattle handy grocery store opposite"
"374","18.6532831192017"
"375","5"
"376","9"
"377","27"
"378","0"
"379","121"
"380","3"
"381","26"
"382","0"
"383","32"
"384","en"
"385","noise airconditionera standard arranged stay travel agency unfortunately warwick seattle hotel dissapointment trip night stay warwick changed rooms starting minute stay hotel personnel didnt make feel like guest like intruder reluctant help solve complaints hotel right downtown minutes really good restaurants like good thing availability room offered nd floor window directly opening car parking level changed room rooms loud sound coming air conditioner heating unbelievable hotel hotel personnel told standard noise rooms tried avoid using night order sleep possible watching tv loudly"
"386","18.6533620357513"
"387","5"
"388","9"
"389","27"
"390","0"
"391","121"
"392","3"
"393","26"
"394","0"
"395","33"
"396","en"
"397","good location poor cleanliness warwick hotel great location seattle close shopping pike place seattle centre really lets hotel cleanliness bed linen torn curtains torn floor stains hotel advertises balcony reality disappointment stayed hotel san diego balcony table chairs warwick balcony inchesthe view rooms view space needle terrific nt make poor cleanliness check staff pleasant unpleasant decided sample restaurant ralph deli street great snacks cafethere plenty better hotels seattle slightly money warwick choose eg hotel andra"
"398","18.6534268856049"
"399","5"
"400","9"
"401","27"
"402","0"
"403","121"
"404","3"
"405","26"
"406","0"
"407","34"
"408","en"
"409","good place spending big bucks warwick plenty comfortable nice nice view space needle room nt expect balcony just inch ledge ironwork falling overboard open patio door partially step view lake union elliott bay morning space needle hidden clouds neat sunny weather cloudy needed warwick complaints"
"410","18.653548002243"
"411","5"
"412","9"
"413","27"
"414","0"
"415","121"
"416","3"
"417","26"
"418","0"
"419","35"
"420","en"
"421","nice hotel trip seattle wanted stay downtown good rate hotel decided stay warwick clean stayed th floor excellent view space needle downtown nice able open sliding door let cool air bed comfy pillows room clean parking problem use hotel parking staff friendly helpful ask key business center computers needless say hassle use computers acquire key restaurant good breakfast hotel walking distance major attractions like stated space needle pike market mins away walking opted drive therewe pleased hotel stay"
"422","18.653685092926"
"423","5"
"424","9"
"425","27"
"426","0"
"427","121"
"428","3"
"429","26"
"430","0"
"431","36"
"432","en"
"433","great value seattle spouse stayed warwick seattle days september hotel disappoint reasonably priced stay downtown area easy walk sightseeing attractions blocks waterfront free bus seattle figure worked research room king bed spacious nicely appointed comfortable plenty pillows coffee room course great seattle bath finished marble deep tub handheld shower nice touch toiletries average huge consideration complaints concerned desk reservations trip leg olympic penninsula decided cancel second reservation arrived hotel day travel desk clerk kept waiting minutes hello moved second desk clerk free told reservation attempt look walk stairs parking garage confirmation luggage reservation following day office tried told nt staying parking day pretty steep option parking seattle scarce hotel nt shuttle option cab hotel restaurant adequate really great breakfast walk block mayflower park hotel pricey fabulous"
"434","18.6538119316101"
"435","5"
"436","9"
"437","27"
"438","0"
"439","121"
"440","3"
"441","26"
"442","0"
"443","37"
"444","en"
"445","gem hotel absolute gem small great service room huge certainly adequate clean comfortable ask room high floor great view downtown space needlebest attentive staff concierges friendly helpful shuttle drivers went way literally victoria ferry pick convenientwould recommend"
"446","18.6539270877838"
"447","5"
"448","9"
"449","27"
"450","0"
"451","121"
"452","3"
"453","26"
"454","0"
"455","38"
"456","en"
"457","pretty good value visit seattle frequently days longer staying nights worth especially hotel raised rates lately recommend ramada steps away staying longer time perfect especially families fancier hotels town warwick satisfy families especially expensive suites swimming pool bit dark balconies acually just big step windows views location perfect small restaurant dont overpriced offer better food downtown"
"458","18.6541080474854"
"459","5"
"460","9"
"461","27"
"462","0"
"463","121"
"464","3"
"465","26"
"466","0"
"467","39"
"468","en"
"469","average nice stay hotel amazing location great restaurants gourmet grocery cinerama block radius macy nordstroms shopping blocks mattress comfy amazing sweeping view space needle lake union downtown elliott bay great pool gym facility room service nothing write home nt pizza parking yikes old building nicely remodeled"
"470","18.6542389392853"
"471","5"
"472","9"
"473","27"
"474","0"
"475","121"
"476","3"
"477","26"
"478","0"
"479","40"
"480","en"
"481","bad choice booked hotel hot wire called immediately requesting nonsmoking room king bed room away elevatoricethe person spoke pleasant stated guarantee requests honored make note reservation checkin person desk rude said special request noted reservation card andstated king beds way reservation stuck double beds located directly accross elevator ice nonsmoking elevator parking garage hotel warwick mats garage filthy stairwells hotel faces th smells urine carpets registration elevator area need cleaning upholstery curtains room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously tub drain needsattention shower curtain holes coffee maker room bedding fit bed sleeping directly mattress bedding askew staff unfriendly short housekeeping staff quite pleasant stay hotel"
"482","18.654345035553"
"483","5"
"484","9"
"485","27"
"486","0"
"487","121"
"488","3"
"489","26"
"490","0"
"491","41"
"492","en"
"493","good value hotel stayed warwick times past years spent night march room fine king bed tv pay view movies minifridge thing missing coffee maker nice marble bathroom hand held shower view east hotel space needle time viewed westin hotel towers price right got miles aadvantage card fly ointment overnight parking charge definately come location great"
"494","18.6544539928436"
"495","5"
"496","9"
"497","27"
"498","0"
"499","121"
"500","3"
"501","26"
"502","0"
"503","42"
"504","en"
"505","warwick bad good reviews warwick shocks staff quite rude rooms fairly dirty cut asked bandaid requested bottle opener better service"
"506","18.6546120643616"
"507","5"
"508","9"
"509","27"
"510","0"
"511","121"
"512","3"
"513","26"
"514","0"
"515","43"
"516","en"
"517","great service warwick just recently spent days christmas holidays warwick helpfulness care courtesy experienced desk restaurant room service housekeeping staff truly average greatly appreciated restaurant turned fabulous meals time certain operating skeleton staff thing prevents giving place excellent rating following hotel tired old dirty carpets bedding expect hostel given price range rooms face lift necessary"
"518","18.654748916626"
"519","5"
"520","9"
"521","27"
"522","0"
"523","121"
"524","3"
"525","26"
"526","0"
"527","44"
"528","en"
"529","austin powers decor familiar hotel seattlewhere sheets different colors hairbut okbecause clean second daythe bathroom friend cringeshe asked brought flip flops sanitizer spraythe dirty shag carpet nt stop wallit crawled inchesi star saw shining worse"
"530","18.6548540592194"
"531","5"
"532","9"
"533","27"
"534","0"
"535","121"
"536","3"
"537","26"
"538","0"
"539","45"
"540","en"
"541","great location nt stay long needed place stay seattle prior catching early morning amtrak train portland looked train station dropping hertz car hilton downtown just wanted place spend night called hotel seattle based location tourist map near hilton nt access internet research reviews stay location great virtually door high end hotels half price hilton thought try checked asked aaa discount clerk response time heard hotel desk clerk knowing aaa room used low budget movie version run hotel threadbare carpets dingy curtains quite hanging right minimal lighting strange hanging light middle room dingy bathroom definitely dingy appear obviously dirty ac luckily nt need bed particularly comfortable little boucy people definitely gravitated middle clock room wake requestedit ok spending night nt want spend positive great safe location quick taxi ride train station shower great invested low flow shower heads water pressure really high really enjoyed conversation desk clerk morning mentioned clerk previous night heard aaa told clerk moron owner asked interview went say check reviews trip advisor listed worst hotels seattle got ta love type enthusiastic employee worked night friend day clerk mention nicer rooms definitely nt want nice ones recommend ask room committing"
"542","18.654974937439"
"543","5"
"544","9"
"545","27"
"546","0"
"547","121"
"548","3"
"549","26"
"550","0"
"551","46"
"552","en"
"553","pay read reviews booked knew getting mind nt surprised fact better expected yes rooms outdated towels floormat limited cable tv overall lack amenities use hotel reviewer said like budget overseas hotel stayed similar condition just enjoyed experience check desk service great asked extra pillows maid got spent flowers pike street added character roomlocation friends stayed fairmont street stayed nights night cost money went dinners trip victoria baseball games"
"554","18.6550989151001"
"555","5"
"556","9"
"557","27"
"558","0"
"559","121"
"560","3"
"561","26"
"562","0"
"563","47"
"564","en"
"565"," bad location unmatchable price range simple sleeping room expect pay x surprisingly cleaner hotels seen past week driving la staying travelodge days inn motel quality furnishings high sure little run spots just old building usual character flaws none affected comfort lucky corner room especially nice look w know paying night bath worked nt care watch tv vacation idea worked want believe comments feel free mean room come"
"566","18.6552219390869"
"567","5"
"568","9"
"569","27"
"570","0"
"571","121"
"572","3"
"573","26"
"574","0"
"575","48"
"576","en"
"577","remarkable hotel needed days booked inn based tripadvisor reviews great hotel staff professional accomodating town car service available airport immaculate rooms spacious bathroom great location great hotel price great hotel room facing inner coutyard problem noise rooms face st noisy location excellent downtown seattlewent attached restaurant bacco breakfast cafe champagne dinner excellent"
"578","18.6553199291229"
"579","5"
"580","9"
"581","27"
"582","0"
"583","121"
"584","3"
"585","26"
"586","0"
"587","49"
"588","en"
"589","great location friendly staff stayed hotel easter throughly enjoyed time superably located exploring seattle especially market rooms good sizethe staff friendly helpful reception area welcomingour room exit stairwell night hear rumbling assume like air conditioning pipes"
"590","18.6554288864136"
"591","5"
"592","9"
"593","27"
"594","0"
"595","121"
"596","3"
"597","26"
"598","0"
"599","50"
"600","en"
"601","excellent way stayed inn market memorial day weekend room large great view water sure request way advance hotel quiet fully booked crowded service impeccable staff wellmannered friendly ca nt fault anythingit great location right pike place market near lots great restaurants like etta chez shea"
"602","18.6555299758911"
"603","5"
"604","9"
"605","27"
"606","0"
"607","121"
"608","3"
"609","26"
"610","0"
"611","51"
"612","en"
"613","amazing location great views fabulous boutique hotel adjacent fish market seattle stayed short night heading vancouver island honeymoon loved service great desk pointed great spot sandwiches pm sunday easy hotel adorable chocolate covered strawberries room decorated like bride groom thoughtful cute touch nt time explore area hotel room clean pretty view watermarket bathroom nicer standard hotel bathroom brunch morning little breakfast place tasty hit spot drive ferriesoh hotel cool outdoor patio higher floors offers really incredible viewsa stone throw pike place market"
"614","18.6556270122528"
"615","5"
"616","9"
"617","27"
"618","0"
"619","121"
"620","3"
"621","26"
"622","0"
"623","52"
"624","en"
"625","outstanding choice reserved city view room night week checkin helpful desk staff amy gave complimentary upgrade th floor water view access large deck overlooks seemingly checkin housekeeping valet services checkout smooth friendly pike place market close silly staff great recommendations breakfast dinner trying steer house restaurant stay say absolutely excellent rooms clean appointed reason reserve room timealthought fairmont better choice kids come"
"626","18.6557428836823"
"627","5"
"628","9"
"629","27"
"630","0"
"631","121"
"632","3"
"633","26"
"634","0"
"635","53"
"636","en"
"637","great hotel great hotel good sized clean rooms helpful staff unbeatable location walk door pikes market original starbucks hotel walked underground tour monorail space needle duck tours stay"
"638","18.6558420658112"
"639","5"
"640","9"
"641","27"
"642","0"
"643","121"
"644","3"
"645","26"
"646","0"
"647","54"
"648","en"
